Timestamp	H101	H102	H103	H104	H105	H106	H107	H108	H109	H110	H111	H112	H113	H114	H115	H116
4/30/2015 14:12	30.61207618	30.06984448	29.74787709	30.58151413	29.12460176	27.84887279	29.51890285	30.06358073	28.87038191	30.13619398	29.30346323	29.11136552	20.62116097	18.94463651	20.59626932	19.94363804
4/30/2015 14:27	30.59456883	30.06591026	29.7382474	30.56969414	29.11144886	27.80079259	29.51627948	30.04609481	28.84584299	30.11075811	29.28595742	29.09777366	29.85064665	28.25237439	20.59626932	19.94757027
4/30/2015 14:42	30.60113409	30.05104767	29.72774227	30.56531637	29.09522696	27.8423164	29.51234442	30.04609481	28.86775274	30.12128329	29.30346323	29.09777366	29.82931737	28.24538233	29.95630074	29.54483227
4/30/2015 14:57	30.58362674	30.06197604	29.73036855	30.53467196	29.09259638	27.83707128	29.49747865	30.03691471	28.85548328	30.069973	29.28727036	29.09119696	29.8171292	28.2414493	29.93884044	29.54046313
4/30/2015 15:12	30.57968759	30.05498188	29.7382474	30.54386528	29.08952737	27.8300778	29.49485528	30.02992034	28.85022494	30.07567415	29.27282806	29.08725094	29.82496445	28.23882728	29.93884044	29.52866644
4/30/2015 15:27	30.58493979	30.03749648	29.74525081	30.53335863	29.08821208	27.8300778	29.48523625	30.03254323	28.84891036	30.06865736	29.2645128	29.07628976	29.80102342	28.23183522	29.9305468	29.5273557
4/30/2015 15:42	30.5875659	30.02700524	29.74087368	30.5224142	29.0855815	27.81521665	29.47211939	30.0176802	28.84584299	30.06076347	29.26582574	29.08725094	29.80624692	28.22528017	29.91832459	29.52298655
4/30/2015 15:57	30.57968759	30.00121426	29.73562112	30.51584754	29.07768977	27.80341515	29.45856531	30.02336312	28.83927006	30.05111538	29.26188693	29.08023579	29.80363517	28.22659118	29.89693572	29.51905432
4/30/2015 16:12	30.54861206	30.01607686	29.74087368	30.5184742	29.06015257	27.81958758	29.47605445	30.02205168	28.82305685	30.05111538	29.2509458	29.07628976	29.79841167	28.23183522	29.90653888	29.51118986
4/30/2015 16:27	30.51884957	30.00645989	29.74393767	30.52766752	29.07505919	27.82089886	29.46949602	30.00019429	28.78405749	30.04453714	29.24963286	29.05875189	29.79841167	28.22003613	29.86201511	29.50682072
4/30/2015 16:42	30.52016262	30.01345405	29.75312965	30.52372753	29.06804431	27.82614397	29.47211939	30.00194288	28.82042768	30.04453714	29.24438112	29.06708238	29.80494104	28.22265815	29.85284845	29.50419923
4/30/2015 16:57	30.54861206	30.02394529	29.75575593	30.52372753	29.06015257	27.8300778	29.46774711	29.99363707	28.81648392	30.03488905	29.23912938	29.04121401	29.80494104	28.2292132	29.87554685	29.51905432
